time,open,high,low,close,Volume,K,D
-2432453400,5.51,5.51,5.51,5.51,0,78.46187391803137,84.68197641893917
-2427096600,5.51,5.51,5.51,5.51,0,59.35038919792098,74.83888733782801
-2424677400,5.31,5.31,5.31,5.31,0,30.56071793947314,56.12432701847518
-2419407000,4.84,4.84,4.84,4.84,0,5.469909585640082,31.793672241011407
-2416728600,4.61,4.61,4.61,4.61,0,1.1842378929335002e-15,12.010209175037742
-2411458200,4.08,4.08,4.08,4.08,0,1.1842378929335002e-15,1.823303195213362
-2408779800,4.37,4.37,4.37,4.37,0,8.26306049637419,2.7543534987913976
-2403509400,4.57,4.57,4.57,4.57,0,21.472072842230574,9.911711112868256
-2400917400,4.41,4.41,4.41,4.41,0,32.43147569179021,20.72220301013166
-2398239000,4.32,4.32,4.32,4.32,0,33.90499790185966,29.26951547862682
-2395560600,4.38,4.38,4.38,4.38,0,32.01063261981542,32.78236873782176
-2393141400,4.51,4.51,4.51,4.51,0,37.05045349930034,34.32202800699181
-2387871000,4.4,4.4,4.4,4.4,0,41.33903015546259,36.800038758192784
-2385192600,4.34,4.34,4.34,4.34,0,44.000386631462675,40.796623428741874
-2379922200,4.41,4.41,4.41,4.41,0,44.318694346504934,43.21937037781007
-2374651800,4.34,4.34,4.34,4.34,0,50.030020250740655,46.116367076236095
-2371973400,4.34,4.34,4.34,4.34,0,64.69129461143795,53.01333640289452
-2366703000,4.25,4.25,4.25,4.25,0,73.08809059003137,62.60313515073667
-2364024600,4.19,4.19,4.19,4.19,0,75.49207002860912,71.09048507669281
-2361605400,4.19,4.19,4.19,4.19,0,54.59218395840835,67.7241148590163
-2358927000,4.37,4.37,4.37,4.37,0,63.211189869061435,64.43181461869297
-2356335000,4.61,4.61,4.61,4.61,0,74.4040584969754,64.06914410814841
-2351064600,4.72,4.72,4.72,4.72,0,100,79.20508278867895
-2348386200,4.79,4.79,4.79,4.79,0,100,91.46801949899181
-2343115800,4.75,4.75,4.75,4.75,0,97.77034455044607,99.25678151681537
-2340437400,4.59,4.59,4.59,4.59,0,87.09031317133783,94.95355257392798
-2335167000,4.27,4.27,4.27,4.27,0,62.836365288808025,82.56567433686399
-2327304600,4.42,4.42,4.42,4.42,0,48.67329171940735,66.19999005985109
-2324712600,4.4,4.4,4.4,4.4,0,42.13165428525014,51.21377043115519
